id_estacion,autoridad_ambiental,estaci_n,latitud,longitud,variable,unidades,tiempo_de_exposici_n_horas,a_o,promedio,suma,no_de_datos,representatividad_temporal,excedencias_limite_actual,porcentaje_excedencias_limite,mediana,percentil_98,m_ximo,fechas_horas_del_m_ximo,m_nimo,fechas_horas_del_m_nimo,d_as_de_excedencias,c_digo_del_departamento,nombre_del_departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,ubicacion
8234,CORPOCALDAS,MILÁN,5.046763,-75.480285,PM10,ugm3,24,2019,32.3,3774.76,117,96.0,0,0.0,33.0,46.7,68.0,2019-11-21,11.1,2019-05-19,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.480285, 5.046763]}"
8235,CORPOCALDAS,GOBERNACION,5.068433,-75.517243,PM2.5,ugm3,24,2020,14.1,1239.0,88,72.0,0,0.0,14.5,25.3,28.0,2020-07-27,3.0,2020-12-25,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517243, 5.068433]}"
31802,CORPOCALDAS,ESTACION LA DORADA,5.453923,-74.664749,PM10,ugm3,24,2020,19.9,954.0,48,39.0,0,0.0,20.0,35.1,37.0,2020-03-10,5.0,,0,17,CALDAS,17380.0,LA DORADA,Fija,"{'type': 'Point', 'coordinates': [-74.664749, 5.453923]}"
8235,CORPOCALDAS,GOBERNACION,5.068433,-75.517243,PM10,ugm3,24,2020,20.7,1947.0,94,77.0,0,0.0,20.0,38.4,42.0,2020-03-08,11.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517243, 5.068433]}"
31637,CORPOCALDAS,ESTACIÓN LA NUBIA,5.02972,-75.4716,PM10,ugm3,24,2020,22.1,753.0,34,28.0,0,0.0,21.0,36.3,37.0,2020-02-13,9.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.4716, 5.02972]}"
31639,CORPOCALDAS,ESTACIÓN PALOGRANDE,5.0562,-75.492027,PM10,ugm3,24,2020,22.1,794.0,36,30.0,0,0.0,21.0,39.6,41.0,2020-03-08,6.0,2020-07-09,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.492027, 5.0562]}"
31810,CORPOCALDAS,CAMPAÑA CHINCHINÁ,4.990439,-75.609874,PM10,ugm3,24,2020,25.0,300.0,12,10.0,0,0.0,25.5,34.1,35.0,2020-02-10,18.0,2020-01-23,0,17,CALDAS,17174.0,CHINCHINA,Indicativa,"{'type': 'Point', 'coordinates': [-75.609874, 4.990439]}"
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PM10,ugm3,24,2020,25.1,2087.0,83,68.0,0,0.0,24.0,45.4,49.0,2020-02-13,7.0,2020-12-25,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PM10,ugm3,24,2021,25.3,2832.0,112,92.0,0,0.0,26.0,36.0,41.0,2021-12-17,11.0,2021-03-11,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
8234,CORPOCALDAS,MILÁN,5.047326,-75.480838,PM10,ugm3,24,2020,31.3,2223.0,71,58.0,0,0.0,30.0,48.0,53.0,2020-02-13,14.0,2020-11-01,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.480838, 5.047326]}"
8235,CORPOCALDAS,GOBERNACION,5.068433,-75.517243,PM2.5,ugm3,24,2021,15.0,1813.0,121,99.0,0,0.0,14.0,27.6,30.0,2021-10-01,4.0,2021-04-13,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517243, 5.068433]}"
31639,CORPOCALDAS,ESTACIÓN PALOGRANDE,5.0562,-75.492027,PM10,ugm3,24,2021,17.7,1770.0,100,82.0,0,0.0,17.0,26.0,30.0,2021-12-17,10.0,2021-07-03,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.492027, 5.0562]}"
31637,CORPOCALDAS,ESTACIÓN LA NUBIA,5.02972,-75.4716,PM10,ugm3,24,2021,18.2,1841.0,101,83.0,0,0.0,18.0,27.0,32.0,2021-07-13,8.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.4716, 5.02972]}"
